id_cpte,default
10074849,0
10086539,0
10140908,1
10147994,0
10152808,0
10153124,0
10155947,0
10184787,0
10208611,0
10211370,0
10234434,0
10250516,0
10283617,0
10352558,0
10360546,0
10400778,1
10422353,0
10445885,0
10456836,1
10457314,0
10458286,0
10461050,0
10482423,1
10491253,0
10496971,0
10501380,0
10511181,0
10521098,0
10552161,0
10566728,1
10567310,0
10568979,0
10570323,0
10574791,0
10605841,0
10613297,0
10621039,0
10628526,0
10638145,0
10653165,0
10653245,1
10655966,0
10659296,0
10680173,0
10710620,0
10730817,0
10747934,0
10770155,0
10779648,0
10809898,0
10813722,0
10860622,0
10888272,0
10901261,0
10949115,0
10970954,0
10994148,0
11003622,0
11019865,0
11046088,1
11060123,0
11080494,0
11088572,0
11119995,0
11123945,0
11138026,1
11161135,1
11163410,0
11177142,0
11195216,0
11213741,0
11230608,0
11237341,0
11256074,0
11260697,0
11295517,0
11318694,1
11389745,0
11402628,0
11404723,0
11405414,1
11437470,0
11478454,0
11483578,1
11487644,0
11500471,0
11502063,0
11503093,0
11515639,0
11529742,0
11563105,0
11563234,0
11587925,0
11614264,0
11624915,0
11638807,0
11659194,0
11665681,0
11684497,0
11686399,0
11687764,0
11690683,0
11693467,0
11694955,0
11729879,0
11752561,0
11796740,0
11803485,0
11815650,0
11819625,0
11837286,0
11838142,0
11853859,0
11899817,0
11919186,0
11938973,0
11941222,0
11958724,0
11958799,0
12000296,0
12033356,0
12058502,1
12148635,1
12158823,0
12176660,0
12193114,0
12209679,0
12222996,0
12228241,0
12234011,0
12247846,0
12253907,0
12266352,0
12268923,0
12280108,1
12296342,1
12327786,0
12357726,0
12406827,0
12407857,0
12431442,0
12440207,0
12443109,0
12443449,0
12450773,0
12455317,1
12457247,0
12504877,0
12507784,1
12509735,0
12510722,0
12588040,0
12631167,0
12638687,0
12670529,0
12674901,0
12681551,0
12691891,0
12705249,0
12736719,0
12754894,0
12759649,0
12768522,0
12794228,0
12811200,0
12817588,0
12819536,0
12823008,0
12842952,0
12843752,0
12853134,0
12855317,0
12889996,0
12903198,0
12907643,0
12908200,0
12934767,1
12935527,0
12970823,0
12991600,0
13014052,0
13020803,0
13021889,0
13022651,0
13040161,0
13075249,0
13099118,0
13146590,0
13155529,0
13168277,0
13196299,0
13197340,0
13218979,1
13225642,0
13250752,1
13277313,0
13277822,0
13323874,0
13324898,1
13347578,0
13356471,0
13360829,0
13361843,0
13366911,0
13367909,0
13386690,0
13424956,0
13427995,1
13444270,0
13453327,0
13475309,0
13496345,1
13503090,0
13555047,0
13559691,0
13577470,0
13593130,1
13635632,0
13670114,0
13670758,0
13671141,1
13677899,0
13706503,0
13718838,0
13742639,0
13746059,1
13772493,0
