ID_CPTE,PERIODID_MY,Default
99690111,2015-12-01,0
57427180,2012-12-01,0
29617912,2015-12-01,0
61632809,2015-12-01,0
14117855,2013-12-01,0
23700394,2013-12-01,0
27881705,2012-12-01,0
46100731,2012-12-01,0
58512689,2014-12-01,0
24661392,2016-12-01,0
39254190,2016-12-01,0
95779116,2015-12-01,0
26016069,2016-12-01,0
47119980,2013-12-01,0
55240199,2013-12-01,0
35559686,2014-12-01,0
71856405,2016-12-01,0
75085501,2015-12-01,0
75780289,2012-12-01,1
74010769,2015-12-01,0
90088004,2013-12-01,0
43551724,2015-12-01,0
68131233,2013-12-01,0
46775121,2016-12-01,0
71339428,2016-12-01,0
58307978,2012-12-01,0
19692826,2015-12-01,0
64460984,2013-12-01,0
36560668,2013-12-01,0
83467452,2015-12-01,0
69312397,2012-12-01,0
11800562,2012-12-01,0
31889311,2015-12-01,0
87944807,2013-12-01,0
63876843,2015-12-01,0
65603349,2015-12-01,0
32424252,2014-12-01,0
55373630,2013-12-01,0
90586340,2016-12-01,0
33177879,2016-12-01,0
84269808,2016-12-01,0
17489670,2016-12-01,0
58305537,2013-12-01,0
70780295,2012-12-01,0
33565730,2014-12-01,0
60132594,2014-12-01,0
14668702,2015-12-01,0
12224162,2012-12-01,0
94107688,2013-12-01,0
99984767,2016-12-01,0
90886062,2012-12-01,0
78715594,2015-12-01,0
82055618,2013-12-01,0
58022132,2013-12-01,1
99604022,2012-12-01,0
59804116,2014-12-01,0
25809739,2015-12-01,1
50527303,2013-12-01,0
99683108,2016-12-01,0
91376634,2013-12-01,0
13627180,2016-12-01,0
90752508,2015-12-01,0
76780592,2014-12-01,0
30188982,2013-12-01,0
91219526,2013-12-01,0
90319767,2012-12-01,0
25288414,2013-12-01,0
25279988,2014-12-01,0
18161623,2012-12-01,0
13783690,2012-12-01,0
25718814,2015-12-01,0
80402872,2013-12-01,0
35143533,2013-12-01,1
69641200,2015-12-01,0
64538930,2016-12-01,0
47779085,2014-12-01,0
16404268,2016-12-01,0
50556456,2016-12-01,0
29542678,2013-12-01,0
33381848,2012-12-01,0
30572034,2012-12-01,0
91291978,2012-12-01,0
47834370,2016-12-01,0
58871247,2014-12-01,0
50793023,2014-12-01,0
27411311,2016-12-01,0
45622653,2016-12-01,0
47504982,2014-12-01,0
95797904,2014-12-01,0
93775468,2014-12-01,0
14251862,2016-12-01,0
11378033,2015-12-01,0
61056293,2012-12-01,0
57563761,2012-12-01,0
28674059,2014-12-01,0
26225913,2015-12-01,0
68757393,2012-12-01,0
15436314,2012-12-01,0
64323930,2015-12-01,0
29102445,2014-12-01,0
70911050,2016-12-01,0
91708764,2013-12-01,0
93410542,2013-12-01,0
49278449,2015-12-01,0
76252493,2012-12-01,0
72352018,2012-12-01,0
88682387,2015-12-01,0
97475521,2016-12-01,0
12494108,2015-12-01,0
79550057,2013-12-01,0
92497548,2012-12-01,0
97350991,2014-12-01,0
73000900,2016-12-01,0
88054125,2016-12-01,0
47919907,2012-12-01,0
24725515,2015-12-01,0
15067707,2016-12-01,0
37081061,2013-12-01,0
62892757,2016-12-01,0
43533608,2014-12-01,0
82303285,2012-12-01,0
16308487,2015-12-01,0
68459892,2016-12-01,0
88475669,2014-12-01,0
56911302,2015-12-01,0
14201091,2013-12-01,0
75468690,2013-12-01,0
66697550,2013-12-01,0
76449947,2016-12-01,0
35243100,2012-12-01,0
69599648,2014-12-01,0
94063197,2012-12-01,0
78005135,2012-12-01,0
91379576,2014-12-01,0
41399372,2016-12-01,0
63887612,2015-12-01,0
62988431,2013-12-01,0
94504449,2012-12-01,1
64470053,2015-12-01,0
94159260,2014-12-01,0
34699457,2016-12-01,0
63084842,2012-12-01,0
15561005,2012-12-01,0
40557062,2013-12-01,0
92586363,2015-12-01,0
25810310,2014-12-01,0
65011288,2012-12-01,0
90708872,2014-12-01,0
53082213,2013-12-01,0
92055175,2015-12-01,0
68932073,2012-12-01,0
53058657,2016-12-01,0
97942676,2016-12-01,0
72770485,2015-12-01,0
82663006,2012-12-01,0
54741776,2014-12-01,0
31256534,2014-12-01,0
59462449,2015-12-01,0
15232346,2015-12-01,0
75476072,2016-12-01,0
98756461,2012-12-01,0
30437131,2014-12-01,0
80877521,2012-12-01,0
24810415,2014-12-01,0
85708177,2016-12-01,0
60383734,2012-12-01,0
13888046,2012-12-01,0
74342365,2012-12-01,0
52667887,2016-12-01,0
56158848,2015-12-01,0
37914308,2015-12-01,0
24370782,2014-12-01,0
85927625,2012-12-01,0
46398567,2015-12-01,0
41539344,2016-12-01,0
14759344,2013-12-01,0
38648701,2016-12-01,0
89526672,2016-12-01,0
21751101,2012-12-01,0
61498369,2016-12-01,0
96010152,2012-12-01,0
82205768,2015-12-01,0
15078943,2012-12-01,0
44427138,2012-12-01,0
70350630,2014-12-01,0
24749081,2012-12-01,0
12994755,2014-12-01,0
